ParticipantName	PresentationSequence	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AOI[color key]Hit	AOI[L]Hit	AOI[L 2]Hit	AOI[L 3 - leak]Hit	AOI[L 4]Hit	AOI[R 1 - leak]Hit	AOI[R 2]Hit	AOI[R 3]Hit	AOI[R 4]Hit	AOI[S]Hit	AOI[S 2 - sen_leak]Hit	AOI[S 3]Hit	AOI[S 4]Hit	AOI[leak]Hit	
Michael		sex4			Unclassified	4394				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	4394				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	4394				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	4394				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	17				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	1		Fixation	143	857	450	28.44	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4			Unclassified	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4			Unclassified	17				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	2		Fixation	134	860	446	0.14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4		1	Saccade	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4		1	Saccade	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4		1	Saccade	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4		1	Saccade	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4		1	Saccade	84				0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael		sex4	3		Fixation	50	861	447	0.04	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
Michael		sex4	3		Fixation	50	861	447	0.04	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
