ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AOI[color key]Hit	AOI[L 1]Hit	AOI[L 2]Hit	AOI[L 3]Hit	AOI[L 4 - leak]Hit	AOI[L 5]Hit	AOI[P 1]Hit	AOI[P 2]Hit	AOI[P 3]Hit	AOI[P 4 - leak]Hit	AOI[P 5]Hit	AOI[N 1]Hit	AOI[N 2 - sen_leak]Hit	AOI[N 3]Hit	AOI[N 4]Hit	AOI[leak]Hit	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	1		Fixation	818	837	501	11.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		1	Saccade	167				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0			Unclassified	17				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		2	Saccade	50				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		2	Saccade	50				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0		2	Saccade	50				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Michael	mit0	2		Fixation	117	584	425	6.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Michael	mit0	2		Fixation	117	584	425	6.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Michael	mit0	2		Fixation	117	584	425	6.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Michael	mit0	2		Fixation	117	584	425	6.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Michael	mit0	2		Fixation	117	584	425	6.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Michael	mit0	2		Fixation	117	584	425	6.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
